_id,reactant,product,reaction,condition,template_r0,template_r1
744,CC(C)=C(C)C=O.[Li]CC,CC(C)=C(C)C(CC)O,[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH:6]=[O:9].[Li][CH2:7][CH3:8]>>[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH:6]([CH2:7][CH3:8])[OH:9],,[CH2;D2;+0:1]-[CH;D3;+0:2]-[OH;D1;+0:3]>>[CH2;D2;+0:1]-[Li].[CH;D2;+0:2]=[O;H0;D1;+0:3],[C:3]=[C:4]-[CH;D3;+0:5](-[OH;D1;+0:6])-[CH2;D2;+0:2]-[C;D1;H3:1]>>[C;D1;H3:1]-[CH2;D2;+0:2]-[Li].[C:3]=[C:4]-[CH;D2;+0:5]=[O;H0;D1;+0:6]
745,C=CC(C)=O.[Li]CC,C=CC(C)(CC)O,[CH2:1]=[CH:2][C:3]([CH3:4])=[O:7].[Li][CH2:5][CH3:6]>>[CH2:1]=[CH:2][C:3]([CH3:4])([CH2:5][CH3:6])[OH:7],,[CH2;D2;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH2;D2;+0:3]-[Li],[C;D1;H2:1]=[C:2]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[OH;D1;+0:5])-[CH2;D2;+0:7]-[C;D1;H3:6]>>[C;D1;H2:1]=[C:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;H0;D1;+0:5].[C;D1;H3:6]-[CH2;D2;+0:7]-[Li]
746,CC=CC(C)=O.[Li]CC,CC=CC(C)(CC)O,[CH3:1][CH:2]=[CH:3][C:4]([CH3:5])=[O:8].[Li][CH2:6][CH3:7]>>[CH3:1][CH:2]=[CH:3][C:4]([CH3:5])([CH2:6][CH3:7])[OH:8],,[CH2;D2;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH2;D2;+0:3]-[Li],[C:3]=[C:4]-[C;H0;D4;+0:5](-[C;D1;H3:6])(-[OH;D1;+0:7])-[CH2;D2;+0:2]-[C;D1;H3:1]>>[C;D1;H3:1]-[CH2;D2;+0:2]-[Li].[C:3]=[C:4]-[C;H0;D3;+0:5](-[C;D1;H3:6])=[O;H0;D1;+0:7]
747,CC(C)=CC(C)=O.[Li]CC,CC(C)=CC(C)(CC)O,[CH3:1][C:2]([CH3:3])=[CH:4][C:5]([CH3:6])=[O:9].[Li][CH2:7][CH3:8]>>[CH3:1][C:2]([CH3:3])=[CH:4][C:5]([CH3:6])([CH2:7][CH3:8])[OH:9],,[CH2;D2;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH2;D2;+0:3]-[Li],[C:3]=[C:4]-[C;H0;D4;+0:5](-[C;D1;H3:6])(-[OH;D1;+0:7])-[CH2;D2;+0:2]-[C;D1;H3:1]>>[C;D1;H3:1]-[CH2;D2;+0:2]-[Li].[C:3]=[C:4]-[C;H0;D3;+0:5](-[C;D1;H3:6])=[O;H0;D1;+0:7]
748,C=C(C)C(C)=O.[Li]CC,C=C(C)C(C)(CC)O,[CH2:1]=[C:2]([CH3:3])[C:4]([CH3:5])=[O:8].[Li][CH2:6][CH3:7]>>[CH2:1]=[C:2]([CH3:3])[C:4]([CH3:5])([CH2:6][CH3:7])[OH:8],,[CH2;D2;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH2;D2;+0:3]-[Li],[C;D1;H2:1]=[C:2]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[OH;D1;+0:5])-[CH2;D2;+0:7]-[C;D1;H3:6]>>[C;D1;H2:1]=[C:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;H0;D1;+0:5].[C;D1;H3:6]-[CH2;D2;+0:7]-[Li]
749,CC=C(C)C(C)=O.[Li]CC,CC=C(C)C(C)(CC)O,[CH3:1][CH:2]=[C:3]([CH3:4])[C:5]([CH3:6])=[O:9].[Li][CH2:7][CH3:8]>>[CH3:1][CH:2]=[C:3]([CH3:4])[C:5]([CH3:6])([CH2:7][CH3:8])[OH:9],,[CH2;D2;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH2;D2;+0:3]-[Li],[C:3]=[C:4]-[C;H0;D4;+0:5](-[C;D1;H3:6])(-[OH;D1;+0:7])-[CH2;D2;+0:2]-[C;D1;H3:1]>>[C;D1;H3:1]-[CH2;D2;+0:2]-[Li].[C:3]=[C:4]-[C;H0;D3;+0:5](-[C;D1;H3:6])=[O;H0;D1;+0:7]
750,CC(C)=C(C)C(C)=O.[Li]CC,CC(C)=C(C)C(C)(CC)O,[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[C:6]([CH3:7])=[O:10].[Li][CH2:8][CH3:9]>>[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[C:6]([CH3:7])([CH2:8][CH3:9])[OH:10],,[CH2;D2;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH2;D2;+0:3]-[Li],[C:3]=[C:4]-[C;H0;D4;+0:5](-[C;D1;H3:6])(-[OH;D1;+0:7])-[CH2;D2;+0:2]-[C;D1;H3:1]>>[C;D1;H3:1]-[CH2;D2;+0:2]-[Li].[C:3]=[C:4]-[C;H0;D3;+0:5](-[C;D1;H3:6])=[O;H0;D1;+0:7]
751,C=CC=O.[Li]C(C)C,C=CC(C(C)C)O,[CH2:1]=[CH:2][CH:3]=[O:7].[Li][CH:4]([CH3:5])[CH3:6]>>[CH2:1]=[CH:2][CH:3]([CH:4]([CH3:5])[CH3:6])[OH:7],,[CH;D3;+0:3]-[CH;D3;+0:1]-[OH;D1;+0:2]>>[CH;D2;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C;D1;H2:1]=[C:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[CH;D3;+0:6](-[C;D1;H3:5])-[C;D1;H3:7]>>[C;D1;H2:1]=[C:2]-[CH;D2;+0:3]=[O;H0;D1;+0:4].[C;D1;H3:5]-[CH;D3;+0:6](-[C;D1;H3:7])-[Li]
752,CC=CC=O.[Li]C(C)C,CC=CC(C(C)C)O,[CH3:1][CH:2]=[CH:3][CH:4]=[O:8].[Li][CH:5]([CH3:6])[CH3:7]>>[CH3:1][CH:2]=[CH:3][CH:4]([CH:5]([CH3:6])[CH3:7])[OH:8],,[CH;D3;+0:3]-[CH;D3;+0:1]-[OH;D1;+0:2]>>[CH;D2;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C:4]=[C:5]-[CH;D3;+0:6](-[OH;D1;+0:7])-[CH;D3;+0:2](-[C;D1;H3:1])-[C;D1;H3:3]>>[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[Li].[C:4]=[C:5]-[CH;D2;+0:6]=[O;H0;D1;+0:7]
753,CC(C)=CC=O.[Li]C(C)C,CC(C)=CC(C(C)C)O,[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[O:9].[Li][CH:6]([CH3:7])[CH3:8]>>[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]([CH:6]([CH3:7])[CH3:8])[OH:9],,[CH;D3;+0:3]-[CH;D3;+0:1]-[OH;D1;+0:2]>>[CH;D2;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C:4]=[C:5]-[CH;D3;+0:6](-[OH;D1;+0:7])-[CH;D3;+0:2](-[C;D1;H3:1])-[C;D1;H3:3]>>[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[Li].[C:4]=[C:5]-[CH;D2;+0:6]=[O;H0;D1;+0:7]
754,C=C(C)C=O.[Li]C(C)C,C=C(C)C(C(C)C)O,[CH2:1]=[C:2]([CH3:3])[CH:4]=[O:8].[Li][CH:5]([CH3:6])[CH3:7]>>[CH2:1]=[C:2]([CH3:3])[CH:4]([CH:5]([CH3:6])[CH3:7])[OH:8],,[CH;D3;+0:3]-[CH;D3;+0:1]-[OH;D1;+0:2]>>[CH;D2;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C;D1;H2:1]=[C:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[CH;D3;+0:6](-[C;D1;H3:5])-[C;D1;H3:7]>>[C;D1;H2:1]=[C:2]-[CH;D2;+0:3]=[O;H0;D1;+0:4].[C;D1;H3:5]-[CH;D3;+0:6](-[C;D1;H3:7])-[Li]
755,CC=C(C)C=O.[Li]C(C)C,CC=C(C)C(C(C)C)O,[CH3:1][CH:2]=[C:3]([CH3:4])[CH:5]=[O:9].[Li][CH:6]([CH3:7])[CH3:8]>>[CH3:1][CH:2]=[C:3]([CH3:4])[CH:5]([CH:6]([CH3:7])[CH3:8])[OH:9],,[CH;D3;+0:3]-[CH;D3;+0:1]-[OH;D1;+0:2]>>[CH;D2;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C:4]=[C:5]-[CH;D3;+0:6](-[OH;D1;+0:7])-[CH;D3;+0:2](-[C;D1;H3:1])-[C;D1;H3:3]>>[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[Li].[C:4]=[C:5]-[CH;D2;+0:6]=[O;H0;D1;+0:7]
756,CC(C)=C(C)C=O.[Li]C(C)C,CC(C)=C(C)C(C(C)C)O,[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH:6]=[O:10].[Li][CH:7]([CH3:8])[CH3:9]>>[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH:6]([CH:7]([CH3:8])[CH3:9])[OH:10],,[CH;D3;+0:3]-[CH;D3;+0:1]-[OH;D1;+0:2]>>[CH;D2;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C:4]=[C:5]-[CH;D3;+0:6](-[OH;D1;+0:7])-[CH;D3;+0:2](-[C;D1;H3:1])-[C;D1;H3:3]>>[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[Li].[C:4]=[C:5]-[CH;D2;+0:6]=[O;H0;D1;+0:7]
757,C=CC(C)=O.[Li]C(C)C,C=CC(C)(C(C)C)O,[CH2:1]=[CH:2][C:3]([CH3:4])=[O:8].[Li][CH:5]([CH3:6])[CH3:7]>>[CH2:1]=[CH:2][C:3]([CH3:4])([CH:5]([CH3:6])[CH3:7])[OH:8],,[CH;D3;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C;D1;H2:1]=[C:2]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[OH;D1;+0:5])-[CH;D3;+0:7](-[C;D1;H3:6])-[C;D1;H3:8]>>[C;D1;H2:1]=[C:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;H0;D1;+0:5].[C;D1;H3:6]-[CH;D3;+0:7](-[C;D1;H3:8])-[Li]
758,CC=CC(C)=O.[Li]C(C)C,CC=CC(C)(C(C)C)O,[CH3:1][CH:2]=[CH:3][C:4]([CH3:5])=[O:9].[Li][CH:6]([CH3:7])[CH3:8]>>[CH3:1][CH:2]=[CH:3][C:4]([CH3:5])([CH:6]([CH3:7])[CH3:8])[OH:9],,[CH;D3;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C:4]=[C:5]-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[OH;D1;+0:8])-[CH;D3;+0:2](-[C;D1;H3:1])-[C;D1;H3:3]>>[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[Li].[C:4]=[C:5]-[C;H0;D3;+0:6](-[C;D1;H3:7])=[O;H0;D1;+0:8]
759,CC(C)=CC(C)=O.[Li]C(C)C,CC(C)=CC(C)(C(C)C)O,[CH3:1][C:2]([CH3:3])=[CH:4][C:5]([CH3:6])=[O:10].[Li][CH:7]([CH3:8])[CH3:9]>>[CH3:1][C:2]([CH3:3])=[CH:4][C:5]([CH3:6])([CH:7]([CH3:8])[CH3:9])[OH:10],,[CH;D3;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C:4]=[C:5]-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[OH;D1;+0:8])-[CH;D3;+0:2](-[C;D1;H3:1])-[C;D1;H3:3]>>[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[Li].[C:4]=[C:5]-[C;H0;D3;+0:6](-[C;D1;H3:7])=[O;H0;D1;+0:8]
760,C=C(C)C(C)=O.[Li]C(C)C,C=C(C)C(C)(C(C)C)O,[CH2:1]=[C:2]([CH3:3])[C:4]([CH3:5])=[O:9].[Li][CH:6]([CH3:7])[CH3:8]>>[CH2:1]=[C:2]([CH3:3])[C:4]([CH3:5])([CH:6]([CH3:7])[CH3:8])[OH:9],,[CH;D3;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C;D1;H2:1]=[C:2]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[OH;D1;+0:5])-[CH;D3;+0:7](-[C;D1;H3:6])-[C;D1;H3:8]>>[C;D1;H2:1]=[C:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;H0;D1;+0:5].[C;D1;H3:6]-[CH;D3;+0:7](-[C;D1;H3:8])-[Li]
761,CC=C(C)C(C)=O.[Li]C(C)C,CC=C(C)C(C)(C(C)C)O,[CH3:1][CH:2]=[C:3]([CH3:4])[C:5]([CH3:6])=[O:10].[Li][CH:7]([CH3:8])[CH3:9]>>[CH3:1][CH:2]=[C:3]([CH3:4])[C:5]([CH3:6])([CH:7]([CH3:8])[CH3:9])[OH:10],,[CH;D3;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C:4]=[C:5]-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[OH;D1;+0:8])-[CH;D3;+0:2](-[C;D1;H3:1])-[C;D1;H3:3]>>[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[Li].[C:4]=[C:5]-[C;H0;D3;+0:6](-[C;D1;H3:7])=[O;H0;D1;+0:8]
762,CC(C)=C(C)C(C)=O.[Li]C(C)C,CC(C)=C(C)C(C)(C(C)C)O,[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[C:6]([CH3:7])=[O:11].[Li][CH:8]([CH3:9])[CH3:10]>>[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[C:6]([CH3:7])([CH:8]([CH3:9])[CH3:10])[OH:11],,[CH;D3;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[CH;D3;+0:3]-[Li],[C:4]=[C:5]-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[OH;D1;+0:8])-[CH;D3;+0:2](-[C;D1;H3:1])-[C;D1;H3:3]>>[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[Li].[C:4]=[C:5]-[C;H0;D3;+0:6](-[C;D1;H3:7])=[O;H0;D1;+0:8]
763,C=CC=O.[Li]C(C)(C)C,C=CC(C(C)(C)C)O,[CH2:1]=[CH:2][CH:3]=[O:8].[Li][C:4]([CH3:6])([CH3:5])[CH3:7]>>[CH2:1]=[CH:2][CH:3]([C:4]([CH3:5])([CH3:6])[CH3:7])[OH:8],,[C;H0;D4;+0:1]-[CH;D3;+0:2]-[OH;D1;+0:3]>>[C;H0;D4;+0:1]-[Li].[CH;D2;+0:2]=[O;H0;D1;+0:3],[C;D1;H2:1]=[C:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[C;H0;D4;+0:6](-[C;D1;H3:5])(-[C;D1;H3:7])-[C;D1;H3:8]>>[C;D1;H2:1]=[C:2]-[CH;D2;+0:3]=[O;H0;D1;+0:4].[C;D1;H3:5]-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[C;D1;H3:8])-[Li]
764,CC=CC=O.[Li]C(C)(C)C,CC=CC(C(C)(C)C)O,[CH3:1][CH:2]=[CH:3][CH:4]=[O:9].[Li][C:5]([CH3:6])([CH3:7])[CH3:8]>>[CH3:1][CH:2]=[CH:3][CH:4]([C:5]([CH3:6])([CH3:7])[CH3:8])[OH:9],,[C;H0;D4;+0:1]-[CH;D3;+0:2]-[OH;D1;+0:3]>>[C;H0;D4;+0:1]-[Li].[CH;D2;+0:2]=[O;H0;D1;+0:3],[C:5]=[C:6]-[CH;D3;+0:7](-[OH;D1;+0:8])-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C;D1;H3:4]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Li].[C:5]=[C:6]-[CH;D2;+0:7]=[O;H0;D1;+0:8]
765,CC(C)=CC=O.[Li]C(C)(C)C,CC(C)=CC(C(C)(C)C)O,[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[O:10].[Li][C:6]([CH3:7])([CH3:8])[CH3:9]>>[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[OH:10],,[C;H0;D4;+0:1]-[CH;D3;+0:2]-[OH;D1;+0:3]>>[C;H0;D4;+0:1]-[Li].[CH;D2;+0:2]=[O;H0;D1;+0:3],[C:5]=[C:6]-[CH;D3;+0:7](-[OH;D1;+0:8])-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C;D1;H3:4]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Li].[C:5]=[C:6]-[CH;D2;+0:7]=[O;H0;D1;+0:8]
766,C=C(C)C=O.[Li]C(C)(C)C,C=C(C)C(C(C)(C)C)O,[CH2:1]=[C:2]([CH3:3])[CH:4]=[O:9].[Li][C:5]([CH3:6])([CH3:7])[CH3:8]>>[CH2:1]=[C:2]([CH3:3])[CH:4]([C:5]([CH3:6])([CH3:7])[CH3:8])[OH:9],,[C;H0;D4;+0:1]-[CH;D3;+0:2]-[OH;D1;+0:3]>>[C;H0;D4;+0:1]-[Li].[CH;D2;+0:2]=[O;H0;D1;+0:3],[C;D1;H2:1]=[C:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[C;H0;D4;+0:6](-[C;D1;H3:5])(-[C;D1;H3:7])-[C;D1;H3:8]>>[C;D1;H2:1]=[C:2]-[CH;D2;+0:3]=[O;H0;D1;+0:4].[C;D1;H3:5]-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[C;D1;H3:8])-[Li]
767,CC=C(C)C=O.[Li]C(C)(C)C,CC=C(C)C(C(C)(C)C)O,[CH3:1][CH:2]=[C:3]([CH3:4])[CH:5]=[O:10].[Li][C:6]([CH3:7])([CH3:8])[CH3:9]>>[CH3:1][CH:2]=[C:3]([CH3:4])[CH:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[OH:10],,[C;H0;D4;+0:1]-[CH;D3;+0:2]-[OH;D1;+0:3]>>[C;H0;D4;+0:1]-[Li].[CH;D2;+0:2]=[O;H0;D1;+0:3],[C:5]=[C:6]-[CH;D3;+0:7](-[OH;D1;+0:8])-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C;D1;H3:4]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Li].[C:5]=[C:6]-[CH;D2;+0:7]=[O;H0;D1;+0:8]
768,CC(C)=C(C)C=O.[Li]C(C)(C)C,CC(C)=C(C)C(C(C)(C)C)O,[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH:6]=[O:11].[Li][C:7]([CH3:8])([CH3:9])[CH3:10]>>[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH:6]([C:7]([CH3:8])([CH3:9])[CH3:10])[OH:11],,[C;H0;D4;+0:1]-[CH;D3;+0:2]-[OH;D1;+0:3]>>[C;H0;D4;+0:1]-[Li].[CH;D2;+0:2]=[O;H0;D1;+0:3],[C:5]=[C:6]-[CH;D3;+0:7](-[OH;D1;+0:8])-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C;D1;H3:4]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Li].[C:5]=[C:6]-[CH;D2;+0:7]=[O;H0;D1;+0:8]
769,C=CC(C)=O.[Li]C(C)(C)C,C=CC(C)(C(C)(C)C)O,[CH2:1]=[CH:2][C:3]([CH3:4])=[O:9].[Li][C:5]([CH3:6])([CH3:7])[CH3:8]>>[CH2:1]=[CH:2][C:3]([CH3:4])([C:5]([CH3:6])([CH3:7])[CH3:8])[OH:9],,[C;H0;D4;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[C;H0;D4;+0:3]-[Li],[C;D1;H2:1]=[C:2]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[OH;D1;+0:5])-[C;H0;D4;+0:7](-[C;D1;H3:6])(-[C;D1;H3:8])-[C;D1;H3:9]>>[C;D1;H2:1]=[C:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;H0;D1;+0:5].[C;D1;H3:6]-[C;H0;D4;+0:7](-[C;D1;H3:8])(-[C;D1;H3:9])-[Li]
770,CC=CC(C)=O.[Li]C(C)(C)C,CC=CC(C)(C(C)(C)C)O,[CH3:1][CH:2]=[CH:3][C:4]([CH3:5])=[O:10].[Li][C:6]([CH3:7])([CH3:8])[CH3:9]>>[CH3:1][CH:2]=[CH:3][C:4]([CH3:5])([C:6]([CH3:7])([CH3:8])[CH3:9])[OH:10],,[C;H0;D4;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[C;H0;D4;+0:3]-[Li],[C:5]=[C:6]-[C;H0;D4;+0:7](-[C;D1;H3:8])(-[OH;D1;+0:9])-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C;D1;H3:4]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Li].[C:5]=[C:6]-[C;H0;D3;+0:7](-[C;D1;H3:8])=[O;H0;D1;+0:9]
771,CC(C)=CC(C)=O.[Li]C(C)(C)C,CC(C)=CC(C)(C(C)(C)C)O,[CH3:1][C:2]([CH3:3])=[CH:4][C:5]([CH3:6])=[O:11].[Li][C:7]([CH3:8])([CH3:9])[CH3:10]>>[CH3:1][C:2]([CH3:3])=[CH:4][C:5]([CH3:6])([C:7]([CH3:8])([CH3:9])[CH3:10])[OH:11],,[C;H0;D4;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[C;H0;D4;+0:3]-[Li],[C:5]=[C:6]-[C;H0;D4;+0:7](-[C;D1;H3:8])(-[OH;D1;+0:9])-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C;D1;H3:4]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Li].[C:5]=[C:6]-[C;H0;D3;+0:7](-[C;D1;H3:8])=[O;H0;D1;+0:9]
772,C=C(C)C(C)=O.[Li]C(C)(C)C,C=C(C)C(C)(C(C)(C)C)O,[CH2:1]=[C:2]([CH3:3])[C:4]([CH3:5])=[O:10].[Li][C:6]([CH3:7])([CH3:8])[CH3:9]>>[CH2:1]=[C:2]([CH3:3])[C:4]([CH3:5])([C:6]([CH3:7])([CH3:8])[CH3:9])[OH:10],,[C;H0;D4;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[C;H0;D4;+0:3]-[Li],[C;D1;H2:1]=[C:2]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[OH;D1;+0:5])-[C;H0;D4;+0:7](-[C;D1;H3:6])(-[C;D1;H3:8])-[C;D1;H3:9]>>[C;D1;H2:1]=[C:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;H0;D1;+0:5].[C;D1;H3:6]-[C;H0;D4;+0:7](-[C;D1;H3:8])(-[C;D1;H3:9])-[Li]
773,CC=C(C)C(C)=O.[Li]C(C)(C)C,CC=C(C)C(C)(C(C)(C)C)O,[CH3:1][CH:2]=[C:3]([CH3:4])[C:5]([CH3:6])=[O:11].[Li][C:7]([CH3:8])([CH3:9])[CH3:10]>>[CH3:1][CH:2]=[C:3]([CH3:4])[C:5]([CH3:6])([C:7]([CH3:8])([CH3:9])[CH3:10])[OH:11],,[C;H0;D4;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[C;H0;D4;+0:3]-[Li],[C:5]=[C:6]-[C;H0;D4;+0:7](-[C;D1;H3:8])(-[OH;D1;+0:9])-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C;D1;H3:4]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Li].[C:5]=[C:6]-[C;H0;D3;+0:7](-[C;D1;H3:8])=[O;H0;D1;+0:9]
774,CC(C)=C(C)C(C)=O.[Li]C(C)(C)C,CC(C)=C(C)C(C)(C(C)(C)C)O,[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[C:6]([CH3:7])=[O:12].[Li][C:8]([CH3:9])([CH3:10])[CH3:11]>>[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[C:6]([CH3:7])([C:8]([CH3:9])([CH3:10])[CH3:11])[OH:12],,[C;H0;D4;+0:3]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[C;H0;D4;+0:3]-[Li],[C:5]=[C:6]-[C;H0;D4;+0:7](-[C;D1;H3:8])(-[OH;D1;+0:9])-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C;D1;H3:4]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Li].[C:5]=[C:6]-[C;H0;D3;+0:7](-[C;D1;H3:8])=[O;H0;D1;+0:9]
