reaction_id,reaction_name,Reactant,Product,reaction,R1,R2,R3,condition,source,chapter
9-053,Imine formation from carbonyl compounds and primary amines,[R1a]=O.[R2b]N,[R1a]=N[R2b],[R1a]=O.[R2b]N>>[R1a]=N[R2b],methyl;primary;secondary,methyl;aryl,,,library_1270_chapter_templates.json,9
9-054,Mannich aminomethylation of enolizable aldehydes,C=O.CC=O.N([R1a])[R1b],O=CCCN([R1a])[R1b],C=O.CC=O.N([R1a])[R1b]>>O=CCCN([R1a])[R1b],methyl,,,H+,library_1270_chapter_templates.json,9
9-055,Vilsmeier-Haack formylation of activated arenes,O=CN([R1a])[R1b].[R2c],O=C[R2c],O=CN([R1a])[R1b].[R2c]>>O=C[R2c],methyl,aryl,,PCl3,library_1270_chapter_templates.json,9
9-056,Schiff base formation from 3-pentanone and aniline,CCC(=O)CC.Nc1ccccc1,CCC(CC)=Nc1ccccc1,CCC(=O)CC.Nc1ccccc1>>CCC(CC)=Nc1ccccc1,,,,,normalized_template_witnesses.json,9
9-057,Methylhydrazone formation from 3-pentanone,CCC(=O)CC.CNN,CCC(CC)=NNC,CCC(=O)CC.CNN>>CCC(CC)=NNC,,,,,normalized_template_witnesses.json,9
9-058,N-Methylimine formation from 3-pentanone,CCC(=O)CC.CN,CCC(CC)=NC,CCC(=O)CC.CN>>CCC(CC)=NC,,,,,normalized_template_witnesses.json,9
9-059,Reduction of aldehydes and ketones to alcohols,[R1a]=O,[R1a]O,[R1a]=O>>[R1a]O,methyl;primary;secondary;secondary_benzylic,,,"H2, Pd or Ni | LiAlH4, diethyl etherorTHF | H2, Pd or Ni | LiAlH4, diethyl etherorTHF | NaBH4, alcohol | LiAlH4",library_1270_chapter_templates.json,9
9-060,Hydroxymethylation of aldehydes with formaldehyde,C=O.O=CC[R1a],O=CC(CO)[R1a],C=O.O=CC[R1a]>>O=CC(CO)[R1a],methyl,,,,library_1270_chapter_templates.json,9
9-061,Bisulfite addition to aldehydes and ketones,O=C([R1a])[R1b].O=S(O)O,O=S(=O)(O)C(O)([R1a])[R1b],O=C([R1a])[R1b].O=S(O)O>>O=S(=O)(O)C(O)([R1a])[R1b],H;methyl;primary,,,,library_1270_chapter_templates.json,9
9-062,Acid-catalyzed hydroxyalkylation of arenes with formaldehyde,C=O.[R1a],OC[R1a],C=O.[R1a]>>OC[R1a],aryl,,,H+,library_1270_chapter_templates.json,9
9-063,Benzoin condensation of aromatic aldehydes,O=C[R1a].O=C[R1b],O=C(C(O)[R1a])[R1b],O=C[R1a].O=C[R1b]>>O=C(C(O)[R1a])[R1b],aryl,,,"NaCN,C2H5OH",library_1270_chapter_templates.json,9
9-064,Reduction of propanal to 1-propanol,CCC=O,CCCO,CCC=O>>CCCO,,,,,normalized_template_witnesses.json,9
9-065,Reduction of 3-pentanone to 3-pentanol,CCC(=O)CC,CCC(O)CC,CCC(=O)CC>>CCC(O)CC,,,,"H2, Pd or Ni | LiAlH4, diethyl etherorTHF | NaBH4, alcohol",normalized_template_witnesses.json,9
9-066,Hydrolysis of acyl halides to carboxylic acids,O=C([X])[R1a].O,O=C(O)[R1a],O=C([X])[R1a].O>>O=C(O)[R1a],primary,,,,library_1270_chapter_templates.json,9
9-067,Saponification of formate esters,O=CO[R1a],O=CO,O=CO[R1a]>>O=CO,primary,,,NaOH,library_1270_chapter_templates.json,9
9-068,Hydrolysis and decarboxylation of beta-keto esters,O=C(O[R1a])C(C(=O)[R1b])([R2c])[R2d],O=C(O[R1a])C([R2c])[R2d],O=C(O[R1a])C(C(=O)[R1b])([R2c])[R2d]>>O=C(O[R1a])C([R2c])[R2d],methyl,primary,,"H2O,NaOH",library_1270_chapter_templates.json,9
9-069,Reduction of carboxylic acids to primary alcohols,O=C(O)[R1a],OC[R1a],O=C(O)[R1a]>>OC[R1a],methyl;primary,,,"LiAlH4 | (BH3)2 | LiAlH4, diethyl etherorTHF",library_1270_chapter_templates.json,9
9-070,Claisen ester condensation to beta-keto esters,CC(=O)O[R1a].O=C(O[R2b])[R1c],O=C(CC(=O)[R1c])O[R1a],CC(=O)O[R1a].O=C(O[R2b])[R1c]>>O=C(CC(=O)[R1c])O[R1a],methyl,methyl;primary,,NaOEt,library_1270_chapter_templates.json,9
9-071,Crossed Claisen-type acylation of aldehyde enolates with esters,CC=O.O=C(O[R1a])[R1b],O=CCC(=O)[R1b],CC=O.O=C(O[R1a])[R1b]>>O=CCC(=O)[R1b],methyl,,,NaOR,library_1270_chapter_templates.json,9
9-072,Alpha-alkylation of beta-keto ester enolates under Claisen conditions,O=C(O[R1a])C(C(=O)[R1b])[R2c].[R3d][X],O=C(O[R1a])C(C(=O)[R1b])([R3d])[R2c],O=C(O[R1a])C(C(=O)[R1b])[R2c].[R3d][X]>>O=C(O[R1a])C(C(=O)[R1b])([R3d])[R2c],methyl,H;primary,primary,NaOEt,library_1270_chapter_templates.json,9
9-073,Alkylation of carboxylates with alkyl halides to form esters,O=C(O)[R1a].[R2b][X],O=CO[R2b],O=C(O)[R1a].[R2b][X]>>O=CO[R2b],methyl,methyl;primary,,,library_1270_chapter_templates.json,9
9-074,Decarboxylation of beta-keto acids,O=C(O)C(C(=O)[R1a])([R2b])[R2c],O=C(O)C([R2b])[R2c],O=C(O)C(C(=O)[R1a])([R2b])[R2c]>>O=C(O)C([R2b])[R2c],methyl,primary,,"H2O,NaOH",library_1270_chapter_templates.json,9
9-075,Decarboxylation of substituted malonic acids,O=C(O)C(C(=O)O)[R1a],O=C(O)C[R1a],O=C(O)C(C(=O)O)[R1a]>>O=C(O)C[R1a],primary,,,"H2O,NaOH",library_1270_chapter_templates.json,9
9-076,Bouveault-Blanc reduction of esters to alcohols,O=C(O[R1a])[R2b],[R1a]O,O=C(O[R1a])[R2b]>>[R1a]O,primary,methyl,,(BH3)2 | Na,library_1270_chapter_templates.json,9
9-077,Hofmann rearrangement of substituted primary amides,NC(=O)[R1a],[R1a]N,NC(=O)[R1a]>>[R1a]N,secondary;tertiary,,,"Br2,NaOH",library_1270_chapter_templates.json,9
9-078,Hofmann rearrangement of butanamides to propylamines,NC(=O)C[R1a],CCN,NC(=O)C[R1a]>>CCN,methyl,,,"Br2,NaOH",library_1270_chapter_templates.json,9
9-079,Hofmann rearrangement of acetamides to methylamine,NC(=O)[R1a],CN,NC(=O)[R1a]>>CN,methyl,,,"Br2,NaOH",library_1270_chapter_templates.json,9
9-080,"Conjugate addition of hydrogen halides to alpha,beta-unsaturated carbonyls",O=C(C=C[R1a])[R2b].[XH],O=C(CC([R1a])[X])[R2b],O=C(C=C[R1a])[R2b].[XH]>>O=C(CC([R1a])[X])[R2b],aryl,methyl,,,library_1270_chapter_templates.json,9
9-081,"Conjugate addition of Grignard reagents to alpha,beta-unsaturated carbonyls",O=C(C=C([R1a])[R1b])[R1c].[Mg]([R2d])[X],O=C(CC([R2d])([R1a])[R1b])[R1c],O=C(C=C([R1a])[R1b])[R1c].[Mg]([R2d])[X]>>O=C(CC([R2d])([R1a])[R1b])[R1c],methyl,primary,,,library_1270_chapter_templates.json,9
9-082,"Michael addition of malonate esters to alpha,beta-unsaturated aldehydes",O=C(CC(=O)O[R1a])O[R1b].O=CC(=C([R2c])[R2d])[R2e],O=CC(C(C(C(=O)O[R1b])C(=O)O[R1a])([R2c])[R2d])[R2e],O=C(CC(=O)O[R1a])O[R1b].O=CC(=C([R2c])[R2d])[R2e]>>O=CC(C(C(C(=O)O[R1b])C(=O)O[R1a])([R2c])[R2d])[R2e],methyl,H;methyl,,,library_1270_chapter_templates.json,9
9-083,Hydrolysis of nitriles to carboxylic acids,N#C[R1a].O.O,O=C(O)[R1a],N#C[R1a].O.O>>O=C(O)[R1a],primary,,,,library_1270_chapter_templates.json,9
9-084,Reduction of nitriles to primary amines,[R1a]#N,[R1a]N,[R1a]#N>>[R1a]N,primary;benzyl,,,"1)SnCl2,HCl 2)H2O | LiAlH4, diethyl etherorTHF",library_1270_chapter_templates.json,9
10-001,Alkylation of secondary amines to tertiary amines,[R1a][X].[R2b]N[R2c],[R1a]N([R2b])[R2c],[R1a][X].[R2b]N[R2c]>>[R1a]N([R2b])[R2c],methyl;primary;secondary;tertiary,methyl,,,library_1270_chapter_templates.json,10
10-002,Alkylation of primary amines to secondary amines,[R1a][X].[R2b]N,[R1a]N[R2b],[R1a][X].[R2b]N>>[R1a]N[R2b],methyl;primary;secondary;tertiary,methyl,,,library_1270_chapter_templates.json,10
10-003,Alkylation of ammonia to primary amines,[R1a][X].N,[R1a]N,[R1a][X].N>>[R1a]N,primary,,,,library_1270_chapter_templates.json,10
10-004,N-Alkylation of primary amides with alkyl halides,NC(=O)[R1a].[R2b][X],O=C(N[R2b])[R1a],NC(=O)[R1a].[R2b][X]>>O=C(N[R2b])[R1a],methyl,primary,,,library_1270_chapter_templates.json,10
10-005,N-Alkylation of secondary amides with alkyl halides,O=C(N[R1a])[R2b].[R1c][X],O=C(N([R1c])[R1a])[R2b],O=C(N[R1a])[R2b].[R1c][X]>>O=C(N([R1c])[R1a])[R2b],primary,methyl,,Base,library_1270_chapter_templates.json,10
10-006,Nucleophilic substitution of alkyl halides with ammonia,[R1a][X].N,[R1a]N,[R1a][X].N>>[R1a]N,methyl;primary;secondary;tertiary,,,,library_1270_chapter_templates.json,10
10-007,O-Alkylation of phenols with alkyldiazonium reagents,[R1a]O.[R2b]#[N+][R2c],[R2c]O[R1a],[R1a]O.[R2b]#[N+][R2c]>>[R2c]O[R1a],aryl,methyl,,,library_1270_chapter_templates.json,10
10-008,Diazotization of primary amines,[R1a]N.O=NO,[R1a][N+]#N,[R1a]N.O=NO>>[R1a][N+]#N,methyl;aryl,,,HCl,library_1270_chapter_templates.json,10
10-009,Curtius rearrangement of acyl azides to amines,N#[N+][N-]C(=O)[R1a],[R1a]N,N#[N+][N-]C(=O)[R1a]>>[R1a]N,methyl;primary;secondary;tertiary;aryl,,,1)inert solvent 2) H2O,library_1270_chapter_templates.json,10
10-010,Formation of diazoketones from acyl halides and diazomethane,O=C([R1a])[X].[CH2-][N+]#N,[N-]=[N+]=CC(=O)[R1a],O=C([R1a])[X].[CH2-][N+]#N>>[N-]=[N+]=CC(=O)[R1a],methyl,,,,library_1270_chapter_templates.json,10
10-011,Methylation of oxygen nucleophiles with diazomethane,O[R1a].[CH2-][N+]#N,CO[R1a],O[R1a].[CH2-][N+]#N>>CO[R1a],methyl,,,,library_1270_chapter_templates.json,10
10-012,Wolff rearrangement of diazoketones to homologated amides,N#[N+]CC(=O)[R1a],NC(=O)C[R1a],N#[N+]CC(=O)[R1a]>>NC(=O)C[R1a],methyl,,,Ag2O,library_1270_chapter_templates.json,10
10-013,Azo coupling of arenediazonium salts,[R1a][N+]#N.[R1b],[R1a]N=N[R1b],[R1a][N+]#N.[R1b]>>[R1a]N=N[R1b],aryl,,,NaOH,library_1270_chapter_templates.json,10
10-014,Sandmeyer halogenation of arenediazonium salts,[R1a][N+]#N.[Cu][X],[R1a][X],[R1a][N+]#N.[Cu][X]>>[R1a][X],aryl,,,,library_1270_chapter_templates.json,10
10-015,Hydrolysis of arenediazonium salts to phenols,[R1a][N+]#N.O,[R1a]O,[R1a][N+]#N.O>>[R1a]O,aryl,,,,library_1270_chapter_templates.json,10
10-016,Cope elimination of amine N-oxides with one alkene orientation,C(N([R1a])[R1b])([R1c])[R2d],C([R1a])([R1c])=[R2d],C(N([R1a])[R1b])([R1c])[R2d]>>C([R1a])([R1c])=[R2d],methyl,methyl;primary;secondary,,1) H2O2 2)heating,library_1270_chapter_templates.json,10
10-017,Cope elimination of amine N-oxides with an alternative alkene orientation,C(N([R1a])[R1b])([R2c])[R3d],C(=[R2c])[R3d],C(N([R1a])[R1b])([R2c])[R3d]>>C(=[R2c])[R3d],methyl,methyl;primary;secondary,H;methyl,1) H2O2 2)heating,library_1270_chapter_templates.json,10
10-018,Enamine formation from ketones and secondary amines,O=C([R1a])[R2b].[R1c]N[R1d],C(N([R1c])[R1d])([R1a])=[R2b],O=C([R1a])[R2b].[R1c]N[R1d]>>C(N([R1c])[R1d])([R1a])=[R2b],methyl,methyl;primary;secondary,,H+,library_1270_chapter_templates.json,10
10-019,Reduction of aromatic nitro compounds to anilines,[R1a][N+](=O)[O-],[R1a]N,[R1a][N+](=O)[O-]>>[R1a]N,aryl,,,,library_1270_chapter_templates.json,10
11-001,Diels-Alder reaction of pyrrole with substituted alkenes,C(=C[R1a])[R1b].c1cc[nH]c1,C1=CC2NC1C([R1b])C2[R1a],C(=C[R1a])[R1b].c1cc[nH]c1>>C1=CC2NC1C([R1b])C2[R1a],methyl,,,heating,library_1270_chapter_templates.json,11
11-002,Diels-Alder reaction of furan with substituted alkenes,C(=C[R1a])[R1b].c1ccoc1,C1=CC2OC1C([R1b])C2[R1a],C(=C[R1a])[R1b].c1ccoc1>>C1=CC2OC1C([R1b])C2[R1a],methyl,,,heating,library_1270_chapter_templates.json,11
11-003,Diels-Alder reaction of thiophene with substituted alkenes,C(=C[R1a])[R1b].c1ccsc1,C1=CC2SC1C([R1b])C2[R1a],C(=C[R1a])[R1b].c1ccsc1>>C1=CC2SC1C([R1b])C2[R1a],methyl,,,heating,library_1270_chapter_templates.json,11
11-004,Diels-Alder reaction of thiophene with ethene,C=C.c1ccsc1,C1=CC2CCC1S2,C=C.c1ccsc1>>C1=CC2CCC1S2,,,,heating,library_1270_chapter_templates.json,11
11-005,Diels-Alder reaction of furan with ethene,C=C.c1ccoc1,C1=CC2CCC1O2,C=C.c1ccoc1>>C1=CC2CCC1O2,,,,heating,library_1270_chapter_templates.json,11
11-006,Diels-Alder reaction of pyrrole with ethene,C=C.c1cc[nH]c1,C1=CC2CCC1N2,C=C.c1cc[nH]c1>>C1=CC2CCC1N2,,,,heating,library_1270_chapter_templates.json,11
11-007,Catalytic hydrogenation of pyrrole to pyrrolidine,c1cc[nH]c1,C1CCNC1,c1cc[nH]c1>>C1CCNC1,,,,"H2, Pd or Ni",library_1270_chapter_templates.json,11
11-008,Catalytic hydrogenation of thiophene to tetrahydrothiophene,c1ccsc1,C1CCSC1,c1ccsc1>>C1CCSC1,,,,"H2, Pd or Ni",library_1270_chapter_templates.json,11
11-009,Catalytic hydrogenation of furan to tetrahydrofuran,c1ccoc1,C1CCOC1,c1ccoc1>>C1CCOC1,,,,"H2, Pd or Ni",library_1270_chapter_templates.json,11
11-010,Oxidation of alkylpyridine side chains to pyridinecarboxylic acids,Cc1ccccn1.O=[Mn](=O)(=O)[O-],O=C(O)c1ccccn1,Cc1ccccn1.O=[Mn](=O)(=O)[O-]>>O=C(O)c1ccccn1,,,,KMnO4,library_1270_chapter_templates.json,11
11-011,Nucleophilic substitution of halopyridines by hydroxide,[X]c1ccccn1.O,Oc1ccccn1,[X]c1ccccn1.O>>Oc1ccccn1,,,,NaOH,library_1270_chapter_templates.json,11
11-012,Electrophilic halogenation of pyridine,c1ccncc1.[X][X],[X]c1ccccn1,c1ccncc1.[X][X]>>[X]c1ccccn1,,,,,library_1270_chapter_templates.json,11
11-013,Electrophilic halogenation of thiophene,c1ccsc1.[X][X],[X]c1cccs1,c1ccsc1.[X][X]>>[X]c1cccs1,,,,,library_1270_chapter_templates.json,11
11-014,Electrophilic halogenation of furan,c1ccoc1.[X][X],[X]c1ccco1,c1ccoc1.[X][X]>>[X]c1ccco1,,,,,library_1270_chapter_templates.json,11
11-015,Friedel-Crafts acylation of pyridine,O=C([X])[R1a].c1ccncc1,O=C(c1ccccn1)[R1a],O=C([X])[R1a].c1ccncc1>>O=C(c1ccccn1)[R1a],methyl,,,,library_1270_chapter_templates.json,11
11-016,Electrophilic nitration of pyridine,c1ccncc1.O=[N+]([O-])O,O=[N+]([O-])c1ccccn1,c1ccncc1.O=[N+]([O-])O>>O=[N+]([O-])c1ccccn1,,,,,library_1270_chapter_templates.json,11
11-017,Nucleophilic substitution of pyridine with organolithium reagents,[R1a][Li].c1ccncc1,c1ccc([R1a])nc1,[R1a][Li].c1ccncc1>>c1ccc([R1a])nc1,methyl,,,O2,library_1270_chapter_templates.json,11
